Ano;DscClassificacao;Descricao Categoria;Agente;CNPJ;Ordem IASC;MdaIndicadorQualidade;MdaIndicadorSatisfacao;MdaIndicadorFidelidade;MdaIndicadorValor;MdaIndicadorConfianca;MdaMediaSatisfacaoS1;MdaMediaSatisfacaoS2;MdaMediaSatisfacaoS3;MdaMediaQualidadeInformacao;MdaMediaQualidadeAcesso;MdaMediaQualidadeConfiabilidade;MdaMediaSatisfacao
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Mux Energia;97.578.090./000.1-34;1;90,0;75,7;32,8;37,0;89,8;8,3;7,6;7,5;8,9;9,4;9,1;7,8
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Pacto Energia (Forcel);79.850.574./000.1-09;2;88,3;71,3;32,1;45,7;87,4;7,8;7,3;7,1;9,0;9,1;8,8;7,4
2022;Concessionária;Nordeste;Sulgipe;13.255.658./000.1-96;3;83,7;69,8;32,4;37,1;86,3;7,7;7,3;6,8;8,2;8,9;8,6;7,3
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Hidropan;91.982.348./000.1-87;4;81,8;69,0;28,0;30,4;82,6;7,8;7,0;6,8;8,1;8,7;8,3;7,2
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Cooperaliança;83.647.990./000.1-81;5;83,0;67,2;30,1;34,1;79,9;7,5;6,8;6,8;8,0;8,8;8,6;7,1
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;CPFL Santa Cruz;53.859.112./000.1-69;6;81,1;66,6;30,0;29,8;79,6;7,5;7,0;6,5;8,0;8,6;8,3;7,0
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Santa Maria;27.485.069./000.1-09;7;84,7;66,3;30,2;35,7;83,3;7,3;6,8;6,7;8,4;8,9;8,6;7,0
2022;Concessionária;Sul acima de 400 mil unidades consumidoras;RGE;02.016.440./000.1-62;8;80,5;65,7;29,4;31,7;78,8;7,5;6,8;6,5;8,1;8,5;8,1;6,9
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Eletrocar;88.446.034./000.1-55;9;79,7;65,4;28,4;30,5;78,6;7,5;6,7;6,5;7,8;8,5;8,2;6,9
2022;Concessionária;Nordeste;Energisa Borborema;08.826.596./000.1-95;10;81,5;65,3;29,3;32,0;78,0;7,2;7,2;6,2;8,1;8,6;8,3;6,9
2022;Concessionária;Nordeste;Energisa Paraíba;09.095.183./000.1-40;11;78,8;64,9;28,9;29,9;76,6;7,3;6,9;6,3;7,9;8,4;8,0;6,8
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;Chesp;01.377.555./000.1-10;12;78,1;64,7;30,3;30,8;78,8;7,0;6,9;6,6;7,6;8,4;8,1;6,8
2022;Concessionária;Sul acima de 400 mil unidades consumidoras;Celesc-Dis;08.336.783./000.1-90;13;80,1;64,6;29,8;33,2;76,5;7,4;6,6;6,5;8,0;8,5;8,2;6,8
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;DMED;23.664.303./000.1-04;14;81,7;64,3;29,2;25,7;78,5;7,1;6,7;6,5;8,1;8,6;8,4;6,8
2022;Concessionária;Sul acima de 400 mil unidades consumidoras;Copel-Dis;04.368.898./000.1-06;15;79,7;63,7;29,2;30,8;76,9;7,2;6,6;6,5;8,0;8,5;8,1;6,7
2022;Concessionária;Nordeste;Neoenergia Cosern;08.324.196./000.1-81;16;78,0;63,6;27,3;26,9;75,8;7,1;6,9;6,1;7,8;8,3;8,0;6,7
2022;Concessionária;Sul, Sudeste e Centro-Oeste até 30 mil unidades consumidoras;DCELT;83.855.973./000.1-30;17;77,7;63,5;28,5;34,0;76,3;7,2;6,5;6,4;8,0;8,0;8,0;6,7
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;Energisa Sul-Sudeste;07.282.377./000.1-20;18;78,8;63,4;29,4;30,2;78,6;7,1;6,7;6,3;7,8;8,5;8,0;6,7
2022;Concessionária;Sul e Sudeste acima de 30 mil e até 400 mil unidades consumidoras;Cocel;75.805.895./000.1-30;19;81,1;62,6;26,3;31,0;76,0;7,1;6,5;6,3;7,9;8,7;8,3;6,6
2022;Concessionária;Sudeste acima de 400 mil unidades consumidoras;CPFL Paulista;33.050.196./000.1-88;20;78,0;62,5;28,4;27,4;75,3;7,1;6,5;6,3;7,8;8,3;8,0;6,6
